Triangle,Class,Latitude,Longitude,Encryption Time (s),Computation Time (s),Decryption Time (s),Denominator Time (s),Ground Truth Time (s),Total CKKS Time (s)
T3 (Scaled ×2.0),OUTSIDE,19.193003675565777,73.00128611378395,0.028738,0.003199,0.001482,0.0,2e-06,0.03342
T3 (Scaled ×2.0),OUTSIDE,19.156111308512752,72.9350087390771,0.02597,0.002798,0.001444,0.0,3e-06,0.030212
T3 (Scaled ×2.0),OUTSIDE,19.168914709712446,72.91977270873835,0.030693,0.002815,0.001458,1e-06,2e-06,0.034966
T3 (Scaled ×2.0),OUTSIDE,19.181605172589347,73.00228698841327,0.031784,0.002787,0.001458,0.0,2e-06,0.03603
T3 (Scaled ×2.0),OUTSIDE,19.190472363895132,72.97201192963514,0.030033,0.002814,0.001454,0.0,2e-06,0.034301
T3 (Scaled ×2.0),OUTSIDE,19.13940679676618,72.9215649418393,0.031967,0.002799,0.001456,1e-06,3e-06,0.036223
T3 (Scaled ×2.0),OUTSIDE,19.147877424102195,72.98543336674122,0.029635,0.00281,0.001455,1e-06,3e-06,0.0339
T3 (Scaled ×2.0),OUTSIDE,19.190548840594566,72.96948212981007,0.028,0.002779,0.001447,1e-06,3e-06,0.032226
T3 (Scaled ×2.0),OUTSIDE,19.18971470753124,72.9835118083581,0.029193,0.002834,0.001459,1e-06,3e-06,0.033487
T3 (Scaled ×2.0),OUTSIDE,19.191174371631018,72.92993079907929,0.027485,0.00278,0.001498,0.0,3e-06,0.031763
T3 (Scaled ×2.0),OUTSIDE,19.16051581364821,72.97879354366745,0.014222,0.002816,0.001464,0.0,1e-06,0.018502
T3 (Scaled ×2.0),OUTSIDE,19.14680463097727,72.97598036517923,0.030429,0.003258,0.00146,1e-06,2e-06,0.035149
T3 (Scaled ×2.0),OUTSIDE,19.16427543417935,72.9783492264667,0.033123,0.002842,0.001447,1e-06,3e-06,0.037412
T3 (Scaled ×2.0),OUTSIDE,19.158135515427702,72.93235060722914,0.029886,0.002803,0.001467,1e-06,3e-06,0.034157
T3 (Scaled ×2.0),OUTSIDE,19.173825346312633,72.92687519351675,0.028078,0.002799,0.001459,0.0,3e-06,0.032337
T3 (Scaled ×2.0),OUTSIDE,19.14991740619561,72.94000621006393,0.024389,0.002765,0.001458,0.0,2e-06,0.028613
T3 (Scaled ×2.0),OUTSIDE,19.179211868074276,72.99112118274789,0.029579,0.002803,0.001449,0.0,2e-06,0.033831
T3 (Scaled ×2.0),OUTSIDE,19.174794055280003,72.93239247702424,0.028377,0.002776,0.001482,0.0,3e-06,0.032636
T3 (Scaled ×2.0),OUTSIDE,19.140099790208577,72.93900481421032,0.033459,0.002821,0.001452,1e-06,3e-06,0.037733
T3 (Scaled ×2.0),OUTSIDE,19.1874794593992,72.93550287965527,0.031181,0.002939,0.001461,0.0,2e-06,0.035581
T3 (Scaled ×2.0),OUTSIDE,19.191821951124997,72.99078150672874,0.027708,0.00279,0.001459,0.0,3e-06,0.031958
T3 (Scaled ×2.0),OUTSIDE,19.15400202325483,72.97466755979596,0.023613,0.002833,0.001475,1e-06,3e-06,0.027922
T3 (Scaled ×2.0),OUTSIDE,19.196521793079473,72.94538442648502,0.028678,0.002773,0.001456,0.0,3e-06,0.032907
