Triangle,Total Points,Class,Latitude,Longitude,Encryption Time (s),Computation Time (s),Decryption Time (s),Total CKKS Time (s)
T3 (Scaled ×2.0),200,INSIDE,19.1800575645797,72.97967404433922,0.031515,0.002895,0.001498,0.035909
T3 (Scaled ×2.0),200,ON_BOUNDARY,19.158229515678308,72.94133389456243,0.030474,0.002898,0.001631,0.035004
T3 (Scaled ×2.0),200,INSIDE,19.180437399341006,72.97158493587429,0.015999,0.002785,0.001476,0.020261
T3 (Scaled ×2.0),200,ON_BOUNDARY,19.186998785441155,72.95946194570844,0.023149,0.002872,0.001458,0.02748
T3 (Scaled ×2.0),200,ON_BOUNDARY,19.171655437673422,72.9348480771155,0.03218,0.002769,0.001478,0.036427
T3 (Scaled ×2.0),200,INSIDE,19.18674099576009,72.95173310948698,0.03094,0.002805,0.001469,0.035214
T3 (Scaled ×2.0),400,ON_BOUNDARY,19.18666451839327,72.92784046128922,0.013431,0.002862,0.001487,0.01778
T3 (Scaled ×2.0),400,OUTSIDE,19.166331964435948,72.97499784618556,0.03194,0.002972,0.001491,0.036404
T3 (Scaled ×2.0),400,OUTSIDE,19.173557487824873,72.9334898806791,0.030952,0.002834,0.001505,0.035292
T3 (Scaled ×2.0),400,OUTSIDE,19.182467778317257,72.99595904195871,0.033113,0.00277,0.001473,0.037356
T3 (Scaled ×2.0),400,INSIDE,19.16529013606345,72.96126991902526,0.028731,0.002796,0.001478,0.033005
T3 (Scaled ×2.0),400,ON_BOUNDARY,19.186847975276276,72.9457429910636,0.025594,0.003876,0.001479,0.03095
T3 (Scaled ×2.0),400,OUTSIDE,19.149784992030664,72.96514618917615,0.032955,0.002775,0.001476,0.037207
T3 (Scaled ×2.0),400,OUTSIDE,19.151957352610392,72.96551661188964,0.028614,0.002771,0.001477,0.032863
T3 (Scaled ×2.0),400,INSIDE,19.173403694046783,72.96463560840512,0.027576,0.002878,0.001554,0.03201
T3 (Scaled ×2.0),400,INSIDE,19.172095674106117,72.9382237218037,0.031916,0.002883,0.001483,0.036283
T3 (Scaled ×2.0),400,INSIDE,19.168851538433554,72.95571666302715,0.028734,0.002856,0.001533,0.033124
T3 (Scaled ×2.0),400,OUTSIDE,19.145117442500442,72.96031651571303,0.02865,0.002769,0.001463,0.032882
T3 (Scaled ×2.0),400,ON_BOUNDARY,19.149485850213303,72.94628945014666,0.030044,0.002831,0.001547,0.034424
T3 (Scaled ×2.0),400,INSIDE,19.18077092887743,72.97237657765801,0.029556,0.002854,0.001467,0.033878
T3 (Scaled ×2.0),400,INSIDE,19.18401669883093,72.96290970635498,0.028148,0.002796,0.001485,0.032429
T3 (Scaled ×2.0),400,ON_BOUNDARY,19.181883734509366,72.92991412902626,0.028222,0.002775,0.00153,0.032528
T3 (Scaled ×2.0),400,ON_BOUNDARY,19.18697824141027,72.95709984327414,0.032916,0.002784,0.001471,0.037171
T3 (Scaled ×2.0),400,OUTSIDE,19.163034027552396,72.96844971663072,0.033712,0.002805,0.001548,0.038066
T3 (Scaled ×2.0),400,ON_BOUNDARY,19.170562501245026,72.97197405985465,0.028471,0.002764,0.001478,0.032714
T3 (Scaled ×2.0),400,INSIDE,19.178997289521398,72.97397606024646,0.031921,0.002833,0.001507,0.036262
T3 (Scaled ×2.0),400,INSIDE,19.17096516733246,72.9557232589395,0.034054,0.002769,0.001542,0.038366
T3 (Scaled ×2.0),400,OUTSIDE,19.184996159865705,72.92448435841563,0.0288,0.002833,0.001465,0.033099
T3 (Scaled ×2.0),400,ON_BOUNDARY,19.155074797545396,72.9530961104001,0.033096,0.00283,0.00149,0.037416
T3 (Scaled ×2.0),400,OUTSIDE,19.189693061486466,72.98806244204033,0.031379,0.002837,0.001567,0.035784
T3 (Scaled ×2.0),400,OUTSIDE,19.171068562547163,72.99938071322427,0.029605,0.002768,0.001468,0.033842
T3 (Scaled ×2.0),400,OUTSIDE,19.149319789693653,72.95816160672824,0.030628,0.002832,0.001578,0.035039
T3 (Scaled ×2.0),400,ON_BOUNDARY,19.165041618437797,72.93804888994373,0.031316,0.002862,0.001462,0.035641
T3 (Scaled ×2.0),400,ON_BOUNDARY,19.18420954028928,72.92877992559121,0.034619,0.002761,0.001477,0.038858
T3 (Scaled ×2.0),400,OUTSIDE,19.181673403889473,72.92493027073907,0.02937,0.002882,0.001466,0.033719
T3 (Scaled ×2.0),400,OUTSIDE,19.16001287115911,72.9233418194492,0.032197,0.002815,0.001479,0.036492
T3 (Scaled ×2.0),400,ON_BOUNDARY,19.185531396488326,72.92815679988955,0.033096,0.00279,0.00148,0.037367
T3 (Scaled ×2.0),400,INSIDE,19.16349344025477,72.95614744146462,0.032054,0.002781,0.001475,0.036311
T3 (Scaled ×2.0),400,ON_BOUNDARY,19.154092723277564,72.95191459325302,0.030285,0.002761,0.001491,0.034538
T3 (Scaled ×2.0),400,INSIDE,19.17629423404589,72.97659328884569,0.030857,0.002781,0.001492,0.035131
