Triangle,Total Points,Class,Latitude,Longitude,Encryption Time (s),Computation Time (s),Decryption Time (s),Total CKKS Time (s)
T1 (Default),50,ON_BOUNDARY,19.170426237456283,72.96115688836186,0.031487,0.002805,0.001424,0.035717
T1 (Default),50,ON_BOUNDARY,19.169623745499745,72.946683438219,0.034123,0.002767,0.001451,0.038342
T1 (Default),50,ON_BOUNDARY,19.167644737096165,72.95776512511578,0.030927,0.002794,0.00142,0.035141
T1 (Default),50,OUTSIDE,19.183644980727777,72.95906802779135,0.026923,0.002818,0.001431,0.031173
T1 (Default),50,ON_BOUNDARY,19.180587900234414,72.9487412460127,0.032191,0.003061,0.001453,0.036705
T1 (Default),50,INSIDE,19.175047105589176,72.94550063109386,0.034499,0.002756,0.001463,0.038718
T1 (Default),50,OUTSIDE,19.18143130336666,72.93186839545459,0.032924,0.002791,0.001425,0.037141
T1 (Default),50,OUTSIDE,19.173009308877955,72.93950090704233,0.031466,0.002846,0.001437,0.035749
T1 (Default),50,INSIDE,19.168426709509514,72.95013718149029,0.032236,0.00292,0.001415,0.036571
T1 (Default),50,OUTSIDE,19.17473169624525,72.98372324862967,0.030696,0.00276,0.001485,0.034942
T1 (Default),50,ON_BOUNDARY,19.168297262889315,72.9585534904026,0.014641,0.002796,0.001427,0.018864
T1 (Default),50,INSIDE,19.1762637704505,72.95994833496619,0.027562,0.002817,0.001508,0.031888
T1 (Default),50,INSIDE,19.177393579723315,72.94743943935644,0.029381,0.002829,0.001467,0.033678
T1 (Default),50,ON_BOUNDARY,19.173744631880552,72.94470437623202,0.032637,0.002772,0.001439,0.03685
T1 (Default),50,OUTSIDE,19.160565655345916,72.97929372055876,0.03217,0.002776,0.001429,0.036376
T1 (Default),50,ON_BOUNDARY,19.17568310474231,72.96756097403114,0.02889,0.0028,0.001422,0.033111
T1 (Default),50,INSIDE,19.177262046962042,72.95827317160965,0.017952,0.002824,0.001438,0.022214
T1 (Default),50,OUTSIDE,19.15826517647835,72.9592548130896,0.031157,0.002846,0.00144,0.035443
T1 (Default),50,ON_BOUNDARY,19.16547671975509,72.9486876305883,0.020912,0.002884,0.001417,0.025213
T1 (Default),50,OUTSIDE,19.174297411173075,72.9675698473079,0.030017,0.002819,0.001478,0.034315
T1 (Default),50,ON_BOUNDARY,19.16878225715448,72.94708282045306,0.027916,0.002785,0.001454,0.032156
T1 (Default),100,ON_BOUNDARY,19.175414816930793,72.96723421240335,0.01366,0.002832,0.001477,0.01797
T1 (Default),100,OUTSIDE,19.163000695501882,72.95740633263252,0.02864,0.002791,0.001436,0.032868
