Triangle,Class,Latitude,Longitude,GT_w1,GT_w2,GT_w3,CKKS_w1,CKKS_w2,CKKS_w3,Δw1,Δw2,Δw3,GT_Class,CKKS_Class
T1 (Default),OUTSIDE,19.162314502676324,72.94765237372495,0.1126805468,-0.0786321007,0.9659515540,0.1126805619,-0.0786321113,0.9659516835,0.0000000151,0.0000000106,0.0000001295,OUTSIDE,OUTSIDE
T1 (Default),OUTSIDE,19.174788873663626,72.97106808226114,-0.1438363901,0.8252056511,0.3186307390,-0.1438364094,0.8252057617,0.3186307818,0.0000000193,0.0000001106,0.0000000428,OUTSIDE,OUTSIDE
T1 (Default),OUTSIDE,19.167545569219055,72.97244216141738,-0.4626040735,0.7600392812,0.7025647923,-0.4626041355,0.7600393831,0.7025648865,0.0000000620,0.0000001019,0.0000000942,OUTSIDE,OUTSIDE
T1 (Default),OUTSIDE,19.158343365257156,72.93891390715885,0.2344633468,-0.4057936413,1.1713302946,0.2344633782,-0.4057936958,1.1713304517,0.0000000314,0.0000000545,0.0000001571,OUTSIDE,OUTSIDE
T1 (Default),OUTSIDE,19.183275485379642,72.97103904892471,0.1802561870,0.9500975184,-0.1303537054,0.1802562112,0.9500976458,-0.1303537229,0.0000000242,0.0000001274,0.0000000175,OUTSIDE,OUTSIDE
T1 (Default),OUTSIDE,19.184596110830146,72.97929035021619,-0.0272426723,1.2230170061,-0.1957743338,-0.0272426760,1.2230171701,-0.1957743600,0.0000000037,0.0000001640,0.0000000262,OUTSIDE,OUTSIDE
T1 (Default),OUTSIDE,19.152889016232756,72.95129539537504,-0.3600758351,-0.1064763484,1.4665521835,-0.3600758834,-0.1064763627,1.4665523802,0.0000000483,0.0000000143,0.0000001967,OUTSIDE,OUTSIDE
T1 (Default),OUTSIDE,19.16739005165845,72.97752607532846,-0.6273602625,0.9138295819,0.7135306807,-0.6273603467,0.9138297044,0.7135307764,0.0000000842,0.0000001225,0.0000000957,OUTSIDE,OUTSIDE
T1 (Default),OUTSIDE,19.166490820416243,72.9761332138483,-0.6180882423,0.8577356454,0.7603525969,-0.6180883252,0.8577357605,0.7603526988,0.0000000829,0.0000001151,0.0000001019,OUTSIDE,OUTSIDE
T1 (Default),OUTSIDE,19.15185353217975,72.97702694003097,-1.2034247940,0.6682315860,1.5351932081,-1.2034249554,0.6682316756,1.5351934139,0.0000001614,0.0000000896,0.0000002058,OUTSIDE,OUTSIDE
